epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6322.25,0.44112,0.33785,0.81065,0.9734,0.98106,0.9877,0.94171,0.34035,0.21684,0.7915,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7593.22,0.43855,0.3339,0.81112,0.97087,0.98754,0.98813,0.94369,0.33851,0.21612,0.79141,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8865.6,0.43084,0.32932,0.80904,0.97247,0.98637,0.98815,0.9441,0.33635,0.21288,0.79107,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10165.8,0.42911,0.32652,0.80865,0.97007,0.98588,0.98734,0.94424,0.334,0.21329,0.79038,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,11476.6,0.4262,0.32313,0.80882,0.97041,0.98783,0.98827,0.94564,0.33411,0.21076,0.79046,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,12630,0.42348,0.31845,0.80869,0.97471,0.98487,0.98875,0.94665,0.33313,0.20861,0.78995,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,13741.9,0.42252,0.31913,0.80715,0.97535,0.98462,0.98861,0.94717,0.33083,0.20803,0.78954,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,14884.4,0.41745,0.31402,0.8082,0.97322,0.9867,0.98837,0.94735,0.32994,0.20678,0.78957,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,16029.4,0.41478,0.30981,0.8072,0.97523,0.98609,0.98859,0.94784,0.32895,0.20564,0.7893,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,17208.9,0.37712,0.25897,0.79681,0.97737,0.98667,0.9896,0.94863,0.32666,0.20186,0.78885,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,18369.5,0.37076,0.25324,0.7958,0.97757,0.98546,0.98928,0.9491,0.32535,0.20084,0.78889,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,19523.6,0.36876,0.24909,0.79546,0.97193,0.98986,0.98872,0.94953,0.32437,0.201,0.78852,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,20690.3,0.36286,0.2442,0.79497,0.97442,0.98919,0.98897,0.95002,0.32348,0.19922,0.78833,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,21483.9,0.36108,0.2432,0.79367,0.97279,0.9912,0.98905,0.95116,0.32273,0.19846,0.78813,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,22234.6,0.35664,0.23774,0.79238,0.97732,0.98784,0.98948,0.95206,0.32127,0.19635,0.78785,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,22957.2,0.35376,0.2332,0.79171,0.97567,0.98808,0.98898,0.95149,0.32033,0.19678,0.78772,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,23689.8,0.35126,0.22976,0.79072,0.97743,0.98585,0.98876,0.95183,0.31935,0.1961,0.78761,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,24383.8,0.34838,0.22765,0.79089,0.97338,0.99045,0.98874,0.95207,0.31872,0.19602,0.78749,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,25088.2,0.3454,0.22396,0.79189,0.97623,0.98753,0.98893,0.9523,0.31848,0.19566,0.78739,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
